Player,DPI,Game Sensitivity,EDPI
s1mple,400,3.09,1236.0
ZywOo,400,2,800.0
NiKo,400,1.4,560.0
dev1ce,400,1.9,760.0
coldzera,800,1,800.0
Magisk,800,1,800.0
woxic,1600,2,3200.0
sergej,400,1.9,760.0
XANTARES,400,2,800.0
Brehze,400,2.3,919.9999999999999
tabseN,400,1.4,560.0
apEX,400,1.91,764.0
Frozen,400,2,800.0
electronic,400,2.2,880.0000000000001
kNg,400,2.5,1000.0
swag,400,1.2,480.0
pimp,500,2,1000.0
EspiranTo,400,2.6,1040.0
Jame,1600,0.62,992.0
draken,700,1.18,826.0
felps,400,1.9,760.0
fer,400,2.5,1000.0
Twistzz,400,1.4,560.0
destiny,400,2.21,884.0
NahtE,400,1.7,680.0
shz,400,1.65,660.0
valde,400,1.85,740.0
allu,400,3.3,1320.0
fox,400,4.7,1880.0
mou,400,3,1200.0
Xyp9x,800,1,800.0
AmaNEk,800,2.2,1760.0000000000002
jkaem,400,1.4,560.0
Lucky,400,2,800.0
zhokiNg,450,2.35,1057.5
mixwell,400,2.2,880.0000000000001
nexa,800,1.22,976.0
NAF,800,0.6,480.0
DEVIL,400,1.43,572.0
LILMAN,400,(no value),not calculable
syrsoN,400,2.1,840.0
zehN,(no value),(no value),not calculable
Summer,400,2.1,840.0
dupreeh,400,1.8,720.0
AiyvaN,400,2.2,880.0000000000001
loWel,400,2.4,960.0
fREAKAZOiD,400,1.8,720.0
cajunb,400,1.8,720.0
mertz,400,2.4,960.0
EliGE,1600,0.74,1184.0
mouz,400,1.8,720.0
WorldEdit,400,2,800.0
CeRq,400,1.9,760.0
es3tag,800,1.44,1152.0
somebody,450,3.1,1395.0
oskar,400,3.5,1400.0
smike,400,3,1200.0
jks,400,1.9,760.0
rallen,1800,1.2,2160.0
denis,400,1.93,772.0
ptr,400,2.6,1040.0
NaToSaphiX,800,0.8,640.0
USTILO,800,1.1,880.0000000000001
Buster,400,2.2,880.0000000000001
ZEDKO,800,0.95,760.0
gla1ve,400,2.1,840.0
Kjaerbye,400,1.8,720.0
FalleN,400,2.1,840.0
JACKZ,400,2.4,960.0
AttackeR,800,1.8,1440.0
k0nfig,400,2.2,880.0000000000001
SicK,400,2.5,1000.0
Hyper,800,1.38,1104.0
MINISE,800,1,800.0
nitr0,400,2,800.0
JUGi,800,0.8,640.0
freddieb,400,1.7,680.0
Stewie2k,400,1.7,680.0
hampus,(no value),(no value),not calculable
BnTet,800,1.2,960.0
flarich,800,1.2,960.0
suNny,400,2.26,903.9999999999999
innocent,800,0.75,600.0
chelo,400,2.2,880.0000000000001
nex,800,1.15,919.9999999999999
Rickeh,800,0.9,720.0
kenzor,800,1.9,1520.0
Savage,400,1.3,520.0
ropz,400,1.77,708.0
GruBy,400,1.6,640.0
ScreaM,400,2.5,1000.0
HObbit,800,1.5,1200.0
twist,400,2,800.0
NBK-,800,1.1,880.0000000000001
hazed,400,3.3,1320.0
nukkye,400,2,800.0
cromen,800,1,800.0
Brollan,800,1.3,1040.0
MICHU,800,0.39,312.0
Maikelele,400,1.9,760.0
qikert,400,2.7,1080.0
f0rest,400,3.5,1400.0
snatchie,(no value),(no value),not calculable
HS,400,1.8,720.0
zqkS,500,(no value),not calculable
Boombl4,400,1.32,528.0
koosta,400,2.4,960.0
ISSAA,400,2.8,1120.0
stanislaw,400,2.5,1000.0
HEN1,400,2.5,1000.0
AZR,400,2.4,960.0
SZPERO,800,1,800.0
fitch,(no value),(no value),not calculable
hAdji,400,2,800.0
bit,400,2.3,919.9999999999999
TENZKI,400,1.7,680.0
jR,800,1,800.0
juho,450,1.7,765.0
shox,400,2.25,900.0
autimatic,350,1.4,489.99999999999994
kennyS,400,2.2,880.0000000000001
reatz,400,2,800.0
steel,800,1.5,1200.0
Calyx,800,1.3,1040.0
Spiidi,400,1.6,640.0
disco doplan,1850,0.34,629.0
seized,400,3.1,1240.0
adreN,400,2.25,900.0
DD,400,1.85,740.0
flusha,400,1.65,660.0
ALEX,400,2.6,1040.0
boltz,400,3,1200.0
flamie,800,1.44,1152.0
smooya,400,1.6,640.0
nawwk,400,3.2,1280.0
Perfecto,800,1.35,1080.0
dennis,400,2,800.0
MSL,400,1.6,640.0
Jamppi,800,1.25,1000.0
b0RUP,400,2,800.0
scoobyxie,400,1.6,640.0
reltuC,800,1.65,1320.0
FL1T,(no value),(no value),not calculable
FejtZ,400,3,1200.0
xsepower,400,2.2,880.0000000000001
REZ,400,2.5,1000.0
almazer,400,2.9,1160.0
RpK,400,1.85,740.0
Jerry,400,3,1200.0
Snappi,400,2.3,919.9999999999999
Happy,400,3.2,1280.0
facecrack,400,1.73,692.0
poizon,400,1.9,760.0
chopper,400,1.4,560.0
blameF,400,1.27,508.0
tarik,800,1.1,880.0000000000001
ShahZaM,400,1.7,680.0
oBo,400,2.2,880.0000000000001
SHiPZ,400,2.4,960.0
xseveN,400,2.15,860.0
LETN1,400,1.65,660.0
KRIMZ,400,1.7,680.0
jdm64,400,2.75,1100.0
ottoNd,400,1.77,708.0
huNter,400,2,800.0
ZOREE,400,2,800.0
broky,400,2,800.0
DEV7L,400,3.5,1400.0
SANJI,400,1.22,488.0
niko,400,1.3,520.0
rain,450,1.75,787.5
Gratisfaction,800,1.19,952.0
Liazz,800,1.04,832.0
bubble,400,1.75,700.0
Xccurate,800,1,800.0
Plopski,800,1.5,1200.0
ableJ,800,0.9,720.0
aizy,400,2.2,880.0000000000001
VINI,1600,0.48,768.0
devoduvek,400,1.8,720.0
GuardiaN,400,1.3,520.0
yuurih,400,2.2,880.0000000000001
arT,800,1.88,1504.0
queztone,350,2,700.0
chrisJ,800,1.19,952.0
kscerato,400,3.6,1440.0
Aleksib,800,0.95,760.0
FugLy,450,1.7,765.0
Aerial,400,1.89,756.0
V1c7oR,450,1.7,765.0
dimasick,400,2.2,880.0000000000001
mir,400,1.55,620.0
n0thing,400,1.7,680.0
Furlan,400,1.5,600.0
Nifty,400,2.2,880.0000000000001
znajder,400,3,1200.0
phr,400,1.7,680.0
to1nou,400,2,800.0
gade,400,2.2,880.0000000000001
paz,400,2,800.0
TACO,400,1.6,640.0
seang@res,400,1.9,760.0
Golden,400,2,800.0
Subroza,400,1.55,620.0
MODDII,400,2.2,880.0000000000001
cadiaN,400,2.6,1040.0
olofmeister,400,1.7,680.0
Edward,400,1.9,760.0
Snax,400,2.4,960.0
shroud,400,2.5,1000.0
LOGAN,400,1.7,680.0
sycrone,400,1.8,720.0
JW,400,2.4,960.0
byali,800,0.88,704.0
ANGE1,400,1.7,680.0
bodyy,400,2.4,960.0
RUSH,400,2.2,880.0000000000001
STYKO,400,1.8,720.0
friberg,800,1.1,880.0000000000001
Kvik,400,2.2,880.0000000000001
bondik,1800,2.5,4500.0
MAJ3R,400,2.2,880.0000000000001
Lekr0,800,1,800.0
AdreN,400,2.22,888.0000000000001
steel,400,2,800.0
Hiko,800,2.05,1639.9999999999998
wayLander,800,0.62,496.0
pyth,450,2.3,1035.0
krizzen,400,1.7,680.0
LOVEYY,400,2.1,840.0
Ex6TenZ,400,2.2,880.0000000000001
tiziaN,400,2.35,940.0
kioShiMa,400,2.2,880.0000000000001
advent,1000,1.95,1950.0
BARBARR,400,2.15,860.0
GeT_RiGhT,400,2.9,1160.0
RUBINO,400,2.25,900.0
arya,400,2.1,840.0
Drone,1200,0.6,720.0
AnJ,800,0.8,640.0
AcilioN,400,2.2,880.0000000000001
LUCAS1,400,2.5,1000.0
hutji,400,2,800.0
Horvy,400,3,1200.0
TaZ,500,1.63,815.0
Dosia,400,2.5,1000.0
crisby,400,1.9,760.0
Skadoodle,800,1.4,1120.0
TOAO,400,2.2,880.0000000000001
captainMo,450,1.6,720.0
Xizt,400,3,1200.0
sAw,800,1.95,1560.0
NEO,400,2.15,860.0
Balblna,400,3,1200.0
LEGIJA,800,1,800.0
HUNDEN,400,1.3,520.0
pashaBiceps,400,1.72,688.0
daps,400,1.7,680.0
Zeus,1600,1.75,2800.0
gob b,800,1,800.0
crush,50,1.8,90.0
kzy,400,2.35,940.0
DeadFox,400,2.5,1000.0
karrigan,800,1,800.0
FNS,400,1.75,700.0
def,400,2.6,1040.0
kRYSTAL,1000,1.6,1600.0
SIXER,400,2.3,919.9999999999999
ngiN,400,2.5,1000.0
jmqa,800,1.4,1120.0
SmithZz,400,2.5,1000.0
xms,800,1.42,1136.0
pronax,400,2,800.0
Slemmy,400,2.65,1060.0
SEMPHIS,400,2.15,860.0
waterfaLLZ,(no value),(no value),not calculable
Keshandr,1600,0.4,640.0
mistou,400,1.6,640.0
markeloff,400,2,800.0
ceh9,1600,1.9,3040.0
B1ad3,400,2.3,919.9999999999999
Twista,500,3.66,1830.0
fnx,400,1.77,708.0
DaZeD,400,2,800.0
kalle,400,2.35,940.0
summit,400,1.5,600.0
ryx,1600,1,1600.0
Maniac,400,2.5,1000.0
jasonR,800,0.86,688.0
MonttY,800,1.2,960.0
yam,400,1.67,668.0
Friis,400,2.5,1000.0
roca,1800,0.6,1080.0
Zero,400,2.1,840.0
SAGGERTON,1600,0.5,800.0
keev,400,2.9,1160.0
Average EDPI -->,926.0277777777778
